Sport,Event,Market,Outcome,Bookmaker,Odds
Serie A,Sassuolo vs Lecce,totals_2.5,Over,BetMGM,-102
Serie A,Sassuolo vs Lecce,totals_2.5,Under,BetMGM,-135
Serie A,Udinese vs Cremonese,h2h,Cremonese,BetMGM,225
Serie A,Udinese vs Cremonese,h2h,Cremonese,DraftKings,210
Serie A,Udinese vs Cremonese,h2h,Cremonese,FanDuel,220
Serie A,Udinese vs Cremonese,h2h,Cremonese,theScore Bet,215
Serie A,Udinese vs Cremonese,h2h,Draw,BetMGM,230
Serie A,Udinese vs Cremonese,h2h,Draw,DraftKings,225
Serie A,Udinese vs Cremonese,h2h,Draw,FanDuel,230
Serie A,Udinese vs Cremonese,h2h,Draw,theScore Bet,235
Serie A,Udinese vs Cremonese,h2h,Udinese,BetMGM,120
Serie A,Udinese vs Cremonese,h2h,Udinese,DraftKings,115
Serie A,Udinese vs Cremonese,h2h,Udinese,FanDuel,125
Serie A,Udinese vs Cremonese,h2h,Udinese,theScore Bet,120
Serie A,Udinese vs Cremonese,totals_2.5,Over,BetMGM,-105
Serie A,Udinese vs Cremonese,totals_2.5,Under,BetMGM,-135
